pdf_url,filename,linked_from,captured_at
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/Academic-Calendar-2025-26.pdf,Academic-Calendar-2025-26.pdf,https://www.mahindrauniversity.edu.in/calendar/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/Appendix-8-Students-Code-of-Conduct_V1.pdf,Appendix-8-Students-Code-of-Conduct_V1.pdf,https://www.mahindrauniversity.edu.in/ | https://www.mahindrauniversity.edu.in/about-cei/ | https://www.mahindrauniversity.edu.in/about-us/ | https://www.mahindrauniversity.edu.in/about-us/academic-council/ | https://www.mahindrauniversity.edu.in/about-us/board-of-management/ | https://www.mahindrauniversity.edu.in/about-us/founding-team/ | https://www.mahindrauniversity.edu.in/about-us/governing-body/ | https://www.mahindrauniversity.edu.in/about-us/leadership/ | https://www.mahindrauniversity.edu.in/bajaj-engineering-skills-training-best-centre/ | https://www.mahindrauniversity.edu.in/calendar/ | https://www.mahindrauniversity.edu.in/center-for-sustainability/ | https://www.mahindrauniversity.edu.in/collaborations-mous/ | https://www.mahindrauniversity.edu.in/conference-workshop/icpeev-2026/ | https://www.mahindrauniversity.edu.in/events/airo-2026/ | https://www.mahindrauniversity.edu.in/events/amish-tripathi-enthralls-students-in-an-evening-filled-with-questions-and-answers-on-mythology/ | https://www.mahindrauniversity.edu.in/events/icetci-2026/ | https://www.mahindrauniversity.edu.in/events/importance-of-planetary-well-being-in-the-contemporary-world/ | https://www.mahindrauniversity.edu.in/events/periodic-risk-tables-toolkit-for-developing-resilient-organisations/ | https://www.mahindrauniversity.edu.in/events/students-from-the-school-of-design-innovation-mahindra-university-visited-ramoji-film-city/ | https://www.mahindrauniversity.edu.in/events/workshop-on-trends-in-modern-decision-making-applications-of-mcdm-and-optimisation/ | https://www.mahindrauniversity.edu.in/executive-education/ | https://www.mahindrauniversity.edu.in/faculties/ | https://www.mahindrauniversity.edu.in/global-centre-for-enterprise-risk-management/ | https://www.mahindrauniversity.edu.in/life-science/ | https://www.mahindrauniversity.edu.in/mahindra-university-virginia-tech/ | https://www.mahindrauniversity.edu.in/media-releases/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-and-massey-university-celebrate-new-partnership-with-delegation-visit-to-new-zealand/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-hosts-pmi-pearl-city-chapter-expands-project-management-opportunities-for-students-2/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-partners-with-boltzmann-labs-to-advance-ai-driven-life-sciences-research/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-unveils-centre-for-language-learning-and-development-hosts-experiential-storytelling-workshop-for-teachers/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-universitys-bishnu-pal-wins-prestigious-2026-sang-soo-lee-award-from-optica/ | https://www.mahindrauniversity.edu.in/media-releases/strengthening-the-entrepreneurial-ecosystem-in-academia-aic-mahindra-organised-faculty-development-programme-fdp-to-equip-faculty-to-nurture-innovation-2/ | https://www.mahindrauniversity.edu.in/ph-d-programs/ | https://www.mahindrauniversity.edu.in/placement/ | https://www.mahindrauniversity.edu.in/post-graduate-programs/ | https://www.mahindrauniversity.edu.in/research/ | https://www.mahindrauniversity.edu.in/research/publications-and-patents/ | https://www.mahindrauniversity.edu.in/research/research-labs-at-mu/ | https://www.mahindrauniversity.edu.in/schools/ecole-centrale-school-of-engineering/ | https://www.mahindrauniversity.edu.in/schools/indira-mahindra-school-of-education/ | https://www.mahindrauniversity.edu.in/schools/school-of-design-innovation/ | https://www.mahindrauniversity.edu.in/schools/school-of-digital-media-and-communication/ | https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/ | https://www.mahindrauniversity.edu.in/schools/school-of-law/ | https://www.mahindrauniversity.edu.in/schools/school-of-management/ | https://www.mahindrauniversity.edu.in/study-at-mahindra/ | https://www.mahindrauniversity.edu.in/under-graduate-programs/ | https://www.mahindrauniversity.edu.in/weekend-working-professionals-program/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/B.Tech-Admission-Notification-2026-27-1.pdf,B.Tech-Admission-Notification-2026-27-1.pdf,https://www.mahindrauniversity.edu.in/schools/ecole-centrale-school-of-engineering/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/Call-for-Abstract-Indira-Mahindra-School-of-Education-Mahindra-University-1.pdf,Call-for-Abstract-Indira-Mahindra-School-of-Education-Mahindra-University-1.pdf,https://www.mahindrauniversity.edu.in/schools/indira-mahindra-school-of-education/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/Format_Public_Self_Disclosure.pdf,Format_Public_Self_Disclosure.pdf,https://www.mahindrauniversity.edu.in/ | https://www.mahindrauniversity.edu.in/about-cei/ | https://www.mahindrauniversity.edu.in/about-us/ | https://www.mahindrauniversity.edu.in/about-us/academic-council/ | https://www.mahindrauniversity.edu.in/about-us/board-of-management/ | https://www.mahindrauniversity.edu.in/about-us/founding-team/ | https://www.mahindrauniversity.edu.in/about-us/governing-body/ | https://www.mahindrauniversity.edu.in/about-us/leadership/ | https://www.mahindrauniversity.edu.in/bajaj-engineering-skills-training-best-centre/ | https://www.mahindrauniversity.edu.in/calendar/ | https://www.mahindrauniversity.edu.in/center-for-sustainability/ | https://www.mahindrauniversity.edu.in/collaborations-mous/ | https://www.mahindrauniversity.edu.in/conference-workshop/icpeev-2026/ | https://www.mahindrauniversity.edu.in/events/airo-2026/ | https://www.mahindrauniversity.edu.in/events/amish-tripathi-enthralls-students-in-an-evening-filled-with-questions-and-answers-on-mythology/ | https://www.mahindrauniversity.edu.in/events/icetci-2026/ | https://www.mahindrauniversity.edu.in/events/importance-of-planetary-well-being-in-the-contemporary-world/ | https://www.mahindrauniversity.edu.in/events/periodic-risk-tables-toolkit-for-developing-resilient-organisations/ | https://www.mahindrauniversity.edu.in/events/students-from-the-school-of-design-innovation-mahindra-university-visited-ramoji-film-city/ | https://www.mahindrauniversity.edu.in/events/workshop-on-trends-in-modern-decision-making-applications-of-mcdm-and-optimisation/ | https://www.mahindrauniversity.edu.in/executive-education/ | https://www.mahindrauniversity.edu.in/faculties/ | https://www.mahindrauniversity.edu.in/global-centre-for-enterprise-risk-management/ | https://www.mahindrauniversity.edu.in/life-science/ | https://www.mahindrauniversity.edu.in/mahindra-university-virginia-tech/ | https://www.mahindrauniversity.edu.in/media-releases/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-and-massey-university-celebrate-new-partnership-with-delegation-visit-to-new-zealand/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-hosts-pmi-pearl-city-chapter-expands-project-management-opportunities-for-students-2/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-partners-with-boltzmann-labs-to-advance-ai-driven-life-sciences-research/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-unveils-centre-for-language-learning-and-development-hosts-experiential-storytelling-workshop-for-teachers/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-universitys-bishnu-pal-wins-prestigious-2026-sang-soo-lee-award-from-optica/ | https://www.mahindrauniversity.edu.in/media-releases/strengthening-the-entrepreneurial-ecosystem-in-academia-aic-mahindra-organised-faculty-development-programme-fdp-to-equip-faculty-to-nurture-innovation-2/ | https://www.mahindrauniversity.edu.in/ph-d-programs/ | https://www.mahindrauniversity.edu.in/placement/ | https://www.mahindrauniversity.edu.in/post-graduate-programs/ | https://www.mahindrauniversity.edu.in/research/ | https://www.mahindrauniversity.edu.in/research/publications-and-patents/ | https://www.mahindrauniversity.edu.in/research/research-labs-at-mu/ | https://www.mahindrauniversity.edu.in/schools/ecole-centrale-school-of-engineering/ | https://www.mahindrauniversity.edu.in/schools/indira-mahindra-school-of-education/ | https://www.mahindrauniversity.edu.in/schools/school-of-design-innovation/ | https://www.mahindrauniversity.edu.in/schools/school-of-digital-media-and-communication/ | https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/ | https://www.mahindrauniversity.edu.in/schools/school-of-law/ | https://www.mahindrauniversity.edu.in/schools/school-of-management/ | https://www.mahindrauniversity.edu.in/study-at-mahindra/ | https://www.mahindrauniversity.edu.in/under-graduate-programs/ | https://www.mahindrauniversity.edu.in/weekend-working-professionals-program/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/IMSE-BROCHURE-2025-final.pdf,IMSE-BROCHURE-2025-final.pdf,https://www.mahindrauniversity.edu.in/schools/indira-mahindra-school-of-education/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/IMSoE-Publications-21022024.pdf,IMSoE-Publications-21022024.pdf,https://www.mahindrauniversity.edu.in/research/publications-and-patents/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/Internship-lists-Pl-Bro.pdf,Internship-lists-Pl-Bro.pdf,https://www.mahindrauniversity.edu.in/placement/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/MU-Brochure-6-pager-2025.pdf,MU-Brochure-6-pager-2025.pdf,https://www.mahindrauniversity.edu.in/ | https://www.mahindrauniversity.edu.in/about-cei/ | https://www.mahindrauniversity.edu.in/about-us/ | https://www.mahindrauniversity.edu.in/about-us/academic-council/ | https://www.mahindrauniversity.edu.in/about-us/board-of-management/ | https://www.mahindrauniversity.edu.in/about-us/founding-team/ | https://www.mahindrauniversity.edu.in/about-us/governing-body/ | https://www.mahindrauniversity.edu.in/about-us/leadership/ | https://www.mahindrauniversity.edu.in/bajaj-engineering-skills-training-best-centre/ | https://www.mahindrauniversity.edu.in/calendar/ | https://www.mahindrauniversity.edu.in/center-for-sustainability/ | https://www.mahindrauniversity.edu.in/collaborations-mous/ | https://www.mahindrauniversity.edu.in/conference-workshop/icpeev-2026/ | https://www.mahindrauniversity.edu.in/events/airo-2026/ | https://www.mahindrauniversity.edu.in/events/amish-tripathi-enthralls-students-in-an-evening-filled-with-questions-and-answers-on-mythology/ | https://www.mahindrauniversity.edu.in/events/icetci-2026/ | https://www.mahindrauniversity.edu.in/events/importance-of-planetary-well-being-in-the-contemporary-world/ | https://www.mahindrauniversity.edu.in/events/periodic-risk-tables-toolkit-for-developing-resilient-organisations/ | https://www.mahindrauniversity.edu.in/events/students-from-the-school-of-design-innovation-mahindra-university-visited-ramoji-film-city/ | https://www.mahindrauniversity.edu.in/events/workshop-on-trends-in-modern-decision-making-applications-of-mcdm-and-optimisation/ | https://www.mahindrauniversity.edu.in/executive-education/ | https://www.mahindrauniversity.edu.in/faculties/ | https://www.mahindrauniversity.edu.in/global-centre-for-enterprise-risk-management/ | https://www.mahindrauniversity.edu.in/life-science/ | https://www.mahindrauniversity.edu.in/mahindra-university-virginia-tech/ | https://www.mahindrauniversity.edu.in/media-releases/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-and-massey-university-celebrate-new-partnership-with-delegation-visit-to-new-zealand/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-hosts-pmi-pearl-city-chapter-expands-project-management-opportunities-for-students-2/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-partners-with-boltzmann-labs-to-advance-ai-driven-life-sciences-research/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-unveils-centre-for-language-learning-and-development-hosts-experiential-storytelling-workshop-for-teachers/ | https://www.mahindrauniversity.edu.in/media-releases/mahindra-universitys-bishnu-pal-wins-prestigious-2026-sang-soo-lee-award-from-optica/ | https://www.mahindrauniversity.edu.in/media-releases/strengthening-the-entrepreneurial-ecosystem-in-academia-aic-mahindra-organised-faculty-development-programme-fdp-to-equip-faculty-to-nurture-innovation-2/ | https://www.mahindrauniversity.edu.in/ph-d-programs/ | https://www.mahindrauniversity.edu.in/placement/ | https://www.mahindrauniversity.edu.in/post-graduate-programs/ | https://www.mahindrauniversity.edu.in/research/ | https://www.mahindrauniversity.edu.in/research/publications-and-patents/ | https://www.mahindrauniversity.edu.in/research/research-labs-at-mu/ | https://www.mahindrauniversity.edu.in/schools/ecole-centrale-school-of-engineering/ | https://www.mahindrauniversity.edu.in/schools/indira-mahindra-school-of-education/ | https://www.mahindrauniversity.edu.in/schools/school-of-design-innovation/ | https://www.mahindrauniversity.edu.in/schools/school-of-digital-media-and-communication/ | https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/ | https://www.mahindrauniversity.edu.in/schools/school-of-law/ | https://www.mahindrauniversity.edu.in/schools/school-of-management/ | https://www.mahindrauniversity.edu.in/study-at-mahindra/ | https://www.mahindrauniversity.edu.in/under-graduate-programs/ | https://www.mahindrauniversity.edu.in/weekend-working-professionals-program/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/03/MU-CEE-Brochure-1.pdf,MU-CEE-Brochure-1.pdf,https://www.mahindrauniversity.edu.in/executive-education/,2026-09-22
