source_id,title,url,source_type,captured_at,public_access,notes
SRC-W-01,About Us - Mahindra University (MU),https://www.mahindrauniversity.edu.in/about-us/,website,,yes,7 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-02,Mahindra University: Best Private University in Hyderabad,https://www.mahindrauniversity.edu.in/,website,,yes,42 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-03,Under Graduate (UG) Programs - Mahindra University,https://www.mahindrauniversity.edu.in/under-graduate-programs/,website,,yes,12 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-04,Post Graduate (PG) Programs - Mahindra University,https://www.mahindrauniversity.edu.in/post-graduate-programs/,website,,yes,22 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-05,BTech Courses and Specializations List- Mahindra University,https://www.mahindrauniversity.edu.in/programs/b-tech/,website,,yes,19 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-06,B.Tech Fee Structure 2026 | Mahindra University,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,website,,yes,3 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-07,B.Tech Eligibility Criteria - Mahindra University,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,website,,yes,4 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-08,Eateries | Mahindra University,https://www.mahindrauniversity.edu.in/eateries/,website,,yes,4 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-09,Contact Us - Mahindra University (MU),https://www.mahindrauniversity.edu.in/contact-us/,website,,yes,11 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-10,Our E-Library and Stocks - Mahindra University (MU),https://www.mahindrauniversity.edu.in/library/,website,,yes,6 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-11,Residences | Mahindra University,https://www.mahindrauniversity.edu.in/residences/,website,,yes,4 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-12,Sports | Mahindra University,https://www.mahindrauniversity.edu.in/sports/,website,,yes,7 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-13,Classrooms | Mahindra University,https://www.mahindrauniversity.edu.in/classrooms/,website,,yes,1 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-14,Student Clubs | Mahindra University,https://www.mahindrauniversity.edu.in/student-clubs/,website,,yes,48 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-M-01,Campus map observations (image_reference = closeup),assets/campus_map_closeup.jpg,campus_map,,yes,"9 campus-map record(s). Source file gives only the image_reference type; no map name, image filename or URL. All records are pending_university_confirmation."
SRC-M-02,Campus map observations (image_reference = full_sign),assets/campus_map_full_sign.jpg,campus_map,,yes,"10 campus-map record(s). Source file gives only the image_reference type; no map name, image filename or URL. All records are pending_university_confirmation."
SRC-P-01,Academic Calendar 2026-27 (signed 19 Jun 2026),https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,pdf,2026-09-23,yes,Linked from https://www.mahindrauniversity.edu.in/calendar/ (crawl 2026-09-22). Local copy: assets/Academic-Calendar-2026-2027.pdf. SoM = School of Management (trimesters); ECSoE/SoL/IMSoE/SDMC/SoDI/SoHM follow semesters.
